Rank,Company Name,Company Description,Website,Location,Year End,Sales Rise,Latest sales,Staff,Comment
68,OMG How Cheap,Online stationery retailer,http://www.omghowcheap.co.uk,Colchester,Feb-19,52.21%,"*7,127",32,Stationery salesman David Field founded his own company after being made redundant in 2011
69,Needle & Thread,Womenswear designer,http://www.needleandthread.com,Northwest London,Mar-19,51.85%,"13,576",74,"Net-a-Porter, Harrods and Moda Operandi stock this womenswear label"
70,Green Park,Recruitment consultancy,http://www.green-park.co.uk,Central London,Jan-19,51.50%,"90,107",66,Has placed interim senior executives in more than 55 countries
71,Exceed,Well management and engineering,http://www.xcd.com,Aberdeen,Feb-19,51.28%,"20,748",43,Has helped decommission over 120 wells in the North Sea in the past three years
72,VetCT,Veterinary radiology services,http://www.vet-ct.com,Cambridge,Jul-19,50.86%,"*6,300",100,Married owners first met at an animal hospital and now run their own veterinary company together
73,Red Industries,Waste management provider,http://www.redindustries.co.uk,Newcastle-under-Lyme,Dec-18,50.51%,"23,832",180,"Founder walked, cycled and rowed from the Eiffel Tower to Tower Bridge to raise money for charity"
74,ITD Global,International courier,http://www.itdglobal.com,Manchester,Apr-19,50.46%,"*23,078",43,"Works with delivery partners including Hermes, UPS and FedEx"
75,Plantforce,Plant hire,http://www.plantforce.com,Bristol,Sep-19,50.24%,"*35,300",131,Supplying HS2 and Hinkley Point with excavation equipment has boosted the company's sales
76,Flame Heating Group,Heating and plumbing merchant,http://www.flameheatingspares.com,Tyne and Wear,Jun-19,49.98%,"*20,087",70,Uses virtual reality to show customers what their new bathrooms could look like
77,Intevi,Display and software supplier,http://www.intevi.uk,Hampshire,Dec-18,49.71%,"*5,538",24,Its interactive displays can detect the user’s age and gender and change content accordingly
78,Rinkit,Online home and garden retailer,http://www.rinkit.com,Chichester,Feb-19,49.49%,"*17,090",45,Started life in a spare bedroom and now receives more than 1.5m orders a year
79,Munnelly Group,Construction/infrastructure logistics,http://www.munnellygroup.com,Harrow,Mar-19,48.26%,"81,163",523,Founder Philip Munnelly launched the company with money saved up from various jobs including a milk round
80,Oliver’s Travels,Luxury travel website,http://www.oliverstravels.com,South London,Sep-19,48.18%,"*6,206",53,"Its largest holiday booking cost £152,000 for one month in a luxury Tuscan villa"
81,BioPhorum,Biopharmaceutical forum organiser,http://www.biophorum.com,Central London,Dec-18,47.49%,"*6,707",10,Says it has signed up 24 of the world's 25 largest biopharmaceutical firms as clients
82,Pizza Pilgrims,Pizzeria operator,http://www.pizzapilgrims.co.uk,Central London,Jun-19,47.48%,"*11,900",215,A friend's quip about the founder brothers' search for the perfect pizza as a 'pilgrimage' stuck
83,Total Management Group,Events and travel agency,http://www.total-management.com,Central London,Mar-19,47.21%,"*15,153",44,"Over 30,000 people have attended its events in 50 countries"
84,Liforme,Yoga mat manufacturer & retailer,http://www.liforme.com,North London,Mar-19,46.89%,"*6,022",15,Within four years this company had sold yoga mats to 85 countries and to every US state
85,Prime Global,Medical communications agency,http://www.primeglobalpeople.com,Knutsford,Dec-18,46.57%,"19,176",156,Its first offices were located on the site of a former tuberculosis hospital near Chester
86,Clearabee,Waste collection services,http://www.clearabee.co.uk,Birmingham,Dec-18,46.53%,"*12,212",179,Purchased 10 acres of native woodland in the Scottish Borders to offset its CO2 emissions
87,Spirit Healthcare,Healthcare products supplier,http://www.spirit-healthcare.co.uk,Leicester,Mar-19,46.41%,"*14,318",66,An NHS study found that this company's software helped reduce hospital admissions by two thirds
88,Aspens Services,Contract caterer,http://www.aspens-services.co.uk,Worcestershire,Apr-19,46.40%,"49,676","2,172",Serves over one million meals a week to schools and universities across the Midlands
89,BrandAlley,Online flash sales site,http://www.brandalley.co.uk,Central London,Dec-18,45.99%,"45,840",72,Runs a members-only site which stocks hundreds of luxury brands at discounted prices
90,Identity,Events management agency,http://www.identitygroup.co.uk,East Sussex,Aug-19,45.70%,"*8,722",43,"Says it puts on more than 1,000 events a year for the likes of Google and ITV"
91,Age Partnership,Equity release adviser,http://www.agepartnership.com,Leeds,Dec-18,45.45%,"50,124",552,Founder set up the business after a disappointing investigation into equity release for his mother
92,The Alchemist,Bar and restaurant operator,http://www.thealchemist.uk.com,Greater Manchester,Mar-19,45.08%,"41,032",929,Its 'Augmented Reality' cocktail menu utilises an app to bring the customer's drink to life
93,Equifinance,Secured loans provider,http://www.equifinance.co.uk,East London,Aug-19,44.89%,"*6,757",25,"Has a loan portfolio of £81m with over 2,500 business customers"
94,United Gas & Power,Business energy supplier,http://www.ugp.co.uk,Leeds,Jun-19,44.88%,"*23,211",60,Says that 100% of the electricity it sells is from renewable energy sources
95,Superyacht Tenders & Toys,Yacht equipment supplier,http://www.superyachttendersandtoys.com,Ipswich,Oct-18,44.81%,"*6,596",11,"Supplies jet skis, submarines and inflatable slides to superyachts made across the world"
96,Honest Burgers,Burger restaurant chain,http://www.honestburgers.co.uk,Central London,Jan-19,44.58%,"30,669",589,"Offers burgers with regional themes, such as the leek and bacon special served at its Cardiff restaurant"
97,Vanarama,Vehicle leasing broker,http://www.vanarama.co.uk,Hemel Hempstead,Dec-18,44.18%,"*75,055",226,"Positioned a “car vending machine” at London’s Waterloo station to promote its car leasing website, Motorama"
98,Hamilton Court FX,Foreign exchange services,http://www.hamiltoncourtfx.com,Central London,Mar-19,44.06%,"*15,265",45,It once changed £150m into euros in a single transaction
99,Airline Component Services,Aircraft parts and repairs,http://www.airlinecomponentservices.com,Braintree,Mar-19,44.02%,"*6,225",10,"Supplies and repairs aircraft parts for customers including British Airways, TUI and easyjet"
100,Vivobarefoot,Footwear manufacturer & retailer,http://www.vivobarefoot.com,Central London,Jun-19,43.57%,"*26,176",61,"Founder has heritage in the footwear world, hailing from the Clark family"
